source,keyword,title,link,summary
Google News,i,'I was lying in bed... The ceiling fell in': At the scene of Israeli hospital hit by Iran strike - BBC,https://news.google.com/rss/articles/CBMiWkFVX3lxTFBXZTRwaHVHX0pIU3ZpLWVORE5HbVpGOVVqUFh6YkJ4UjFwVHR1cVJzR3JXUmV3aHBER090R1dGOXpOdlc1cU8wd09MMjFtTVNVTk9kRHBOVUtwZ9IBX0FVX3lxTE1SRlR3TVZqV0o4VVhwbU1jaWt5c3RFLU53TklxMlFsemdlRkNvSXkxOUhxbWhGSHd3NGFfOHVObkFXZm9JUDlxU1E5SlRfdGpIV3ZGWWEzc21RQkVfdHBv?oc=5,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
Google News,i,9-year-old Florida girl whose hand was nearly bitten off by shark recalls attack: 'I start screaming' - NBC News,https://news.google.com/rss/articles/CBMiugFBVV95cUxPa2t6QjVwRjJQbHF4TXlsUHhuLWVlXzc2RTl1NjVlZlBfRlBzdDFyLXRlaG5hTlYyUWhpRVlvSVBJTWdVY0Mwcld2OUFyVEpnRC1xSjNIS2Q3OW1OSmJRWGRmTTdFb0pnYjRFS0xLVDJqTkNsRlpWVTZUZFQzNFc0b2FTY2RaTEo1UVpOaWRpV2U3dEpoLTIxbGFMa05IVVZKaWwxLWNjZmFfMjhEV1MzQ1RBSjJ0Yk1yVlHSAVZBVV95cUxPY0tCTWg4ZGxua2JoWmhoSHFONkNZUGg5cU9WRndHTThxZzFaWFdpRGdkU1kxZUJNeDJGTzJ5MXNYWUJVY1IxeE9sZS1uM0tNSV92YVFHdw?oc=5,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
Google News,i,I Decided to Let My Body Return to Its Natural State. I Resent My Husband for His Dramatic Reaction. - Slate Magazine,https://news.google.com/rss/articles/CBMihwFBVV95cUxNYnZsRlBMRDI5UkdqdGlJNGxfTTVOeXN6azhfZUFfUGV3dkNnbFctaWQ3QzV0OXREZUxNV2tScTJkT1NwT04tRDF2TlUyM0llLVpOT3NxUFZvckg1V1FIbzRmbEpNaWxSaEtmc3QtNHVJTjNoa3pyNnY3Q2F6MzAzSEQ0YjdGYlk?oc=5,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
Google News,i,How Do I Tell a Friend She’s No Longer Invited to My Wedding? - The New York Times,https://news.google.com/rss/articles/CBMigAFBVV95cUxQWWxXRklwUmhFRS14NF9LNFdUeThoR1A4V0FYdnFoWUkyazI2SGtMRW51WEIydTNtcExHNkZpZ1BPbExicFJ1TWg2RUYtVjFhamdGZFdRbjlveEp6VElHeDJMdGFsZkgyb1hMSW8yUzhjTHZROGRHbEF2TDNQTktVXw?oc=5,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
Google News,i,"I-40 shut down near state line due to possible rockslide, flooding - WLOS",https://news.google.com/rss/articles/CBMihwJBVV95cUxOcFRxZ1JhdGxVLTNQc1pPQ2pseDJOb1FETzdGbTA0ZFR3bkh3MGNxUzBKZFFFNGR6M2hsaklyMVQwMVlZR29MNFJqNzMwOHFhWTZpTjVrQXJGenlueEtoT2I3b2hjdVdpcVdfNW12V2tkclAzcG9YOXVCQ0Z6cFlRU1NMQ0RVU1ZVemVtekZ4TXg4TzdqeWpCV196RDI0dFZ0XzNSdTlUcnRTWEluZE84eG9zN2Z3QUFBb0RUQVR0MVBxR3RpMGt1Ty1naDFYUFN3bDVoT0VydHhHdmFzLWNlOGpuNTBFVjl3UkhRQUduS1E1WTVIQkVJcHREZi11VHFfdzgtQ3U4OA?oc=5,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
Google News,r,"R. Kelly hospitalized after prison overdose, alleged murder plot, lawyers say - USA Today",https://news.google.com/rss/articles/CBMiugFBVV95cUxNY3l2bkg4R2JCMzBMN093clZLUE1NeXR4TzNoQW90VURCWFAtLWdTVFVvdGFYS1AtcjR0M1l3Ymk4WUt6WHBrNHdWamhRYnF6QXVXTFRCNUpQbjJ2ZG9mQ2h0R3R5aDY3clNWbEs4VExtSWpwNVBKdFNTNlVjR3RrMF8yZXAtWmh5N09WLURaaHpDTm5YMXRQbE1OUmExb042Wk5nS2E4V3VkcXhlUkNXdTAxZ1BiNGZieFE?oc=5,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
Google News,r,USS Gerald R. Ford Strike Group set to deploy amid Iran-Israel conflict - 13newsnow.com,https://news.google.com/rss/articles/CBMi7gFBVV95cUxOWWxQeVVzcXpfSG1wTGZPRjlmS1lMWU5sd3RQY1ZxV29RbVZRbU5pMGlNVjkxcVFUS2VsTTVvWkJhaUtGVFVKVTdaVE1IZHNQaGl6VUlkNWRQYlRrcWtETU14Tl9ONS0yUUhQUE5qQjJzdnVNVnZxQVhwQXg0RE05Z212LXNFMW1NVzdIU2RBc2lIWUdrbEV3MjRRVWJSVl9xb28yOTRGVmZpTEs5UnpEV094dkFKMXdKSE50ZGtxd0FHbnZuVzJ0NlBoQWR3N0hvbVFJVTdvcUdjcDhzbzRVdGp0bU55SndaMGF4RXN3?oc=5,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
Google News,r,FDA Grants Orphan Drug Designation to SENTI-202 for R/R AML - Targeted Oncology,https://news.google.com/rss/articles/CBMilwFBVV95cUxNeWl6d0tGYTRadDRWRFlZSU9jajBsWnh5VUlhTS1Jb2syV0tsN19pbTRqSXZlamtzekJYSHRobm95a0U2Sm40NUU2SGR3NXVyMkVqZzF5aHloOU0yMllaalppa2tyUzhWUURJUnhWcF9BUFdjUGgxOWlQSDEwa3UwUTNQQmpLZ2oxMGJsaHFSR2VDSFoxMDg0?oc=5,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
Google News,r,2025 Honda Civic Type R Review: Precision Instrument - Autoguide.com,https://news.google.com/rss/articles/CBMisAFBVV95cUxPaGhQVkdxM2V0NlZvOTdUMVVtdkVGN002b01DTm1nYnBXRHZlcjNDU3BPRFE5X1lpbWZUNDBwYU56NXFzYU83M2N1SVhiZEcwNTIyWmJJeF9YUm1fRjN6VnRhd0lzYzNUbmVBRGJMX3BwUHNBdWhBUzN3RE12dXZRU1RSRkhXbVhFbE44YjRtdTlYa1lsOHJSd0VQaDA3d1h6SGp5NjBmZ3M4THJNMkpzcw?oc=5,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
Google News,r,USS Gerald R. Ford CSG expected to deploy near Middle East next week amid Israel-Iran conflict - WTKR,https://news.google.com/rss/articles/CBMixwFBVV95cUxQTjlvNlZsV044Y1IwNlIwQ2RYTmdoa0pBZ0pmbXZDWGxuMkx1dDVTTFdCeVI5eE10ZkVuWHVtTUNxWmYwQlBETWwyMF9nU080SHY2SzBWNDllMmZNaUN2bHB4NFpWZnNHZ0o0NjR4QWdwclduZlg2eVlaWmVROHRuQTZRbkJ5cTVnSG85VjVwa3NTSmIzSHVVWDFqUHcwb0hQVGE0eGNyclMyWDFDMHlpdEhyVUxwRmY4UGN0ZVBqMV9nTEtqQzlZ?oc=5,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
